iteration,placebo_ate,placebo_std_error,placebo_p_value,true_ate,outcome_column,treatment_column
191,0.02298985304927742,0.01690403832641221,0.17382316734183845,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
192,-0.004382978526359218,0.01342895259184983,0.7441347842900995,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
193,-0.0531984008551111,0.021529175594777454,0.013473917953026075,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
194,-0.055302938163726195,0.02224197810401207,0.012903494251344686,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
195,-0.008465038217627088,0.029604173774865364,0.7749235392817414,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
196,-0.01969962411225374,0.013860976545008638,0.15525014877374144,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
197,0.0014910589056302635,0.013982195046487927,0.915074718802941,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
198,0.0006278882210530481,0.016190728834669873,0.9690652115803836,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
199,-0.019025079373251128,0.01348878016143674,0.15841058271670772,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
200,-0.02507883228592139,0.017480294157067696,0.15137498110875067,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
201,-0.014518958382282081,0.016303192660334153,0.3731656900990624,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
202,0.015920289870185705,0.020600768555077854,0.43964029569055796,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
203,0.003062176752349631,0.019887434072715503,0.8776290871677338,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
204,0.0005617171239174898,0.016561680575584825,0.9729435967666102,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
205,0.00845465406210208,0.0148614348007896,0.5694247449962764,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
206,-0.005228013236948508,0.01862446674198055,0.7789353431407866,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
207,-0.015385271997956522,0.01563005617702779,0.32494891866086095,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
208,-0.004782562757469659,0.014524569744991344,0.7419486162640896,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
209,0.004075077077581875,0.016965213790184827,0.8101737183605099,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
210,-0.003991700379621859,0.018615758691794267,0.8302149641533826,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
211,-0.004283224758536521,0.014364818752119713,0.7655698710411306,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
212,-0.004310006025359348,0.019939575447474645,0.8288682154265934,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
213,0.014075830376598226,0.022204944225688455,0.5261426692639852,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
214,-0.006685457884231991,0.017170746943956757,0.6970160665744154,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
215,-0.023139809818574116,0.020031319785395896,0.2480161133855734,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
216,0.013929685397662414,0.025378415612539108,0.5830883279587068,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
217,0.03372241930670023,0.018252951937483757,0.0646739893945283,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
218,0.0020226820767932224,0.015047580893163874,0.8930711898003861,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
219,0.0015928078502520612,0.017286434491938174,0.9265851638884914,-0.054088977915864256,co2_emission_intensity,digital_inclusive_finance_index
